show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s00001,Movie,Mystery House 163,Sarah Williams,Raj Kumar,Mexico,"May 28, 2018",2012,PG-13,95 min,Documentaries,A movie about love and the unexpected challenges that change everything.
s00002,TV Show,The Golden Road 120,Sarah Williams,Rahul Sharma,India,"September 27, 2015",1999,G,1 Season,Dramas,A tv show about family and the unexpected challenges that change everything.
s00003,TV Show,The Final Mission 106,Daniel Lee,Various Artists,Spain,"July 7, 2020",2014,TV-MA,5 Seasons,Horror Movies,A tv show about ambition and the unexpected challenges that change everything.
s00004,Movie,Ocean of Fire 70,Chris Taylor,Neha Patel,Japan,"July 24, 2015",2001,TV-MA,90 min,Anime Series,A movie about survival and the unexpected challenges that change everything.
s00005,Movie,A New Beginning 228,Michael Brown,Daniel Kim,Brazil,"April 20, 2017",2013,PG,82 min,Action and Adventure,A movie about ambition and the unexpected challenges that change everything.
s00006,Movie,The Last Kingdom 84,Sofia Martin,Riya Kapoor,Spain,"July 1, 2019",2007,PG-13,75 min,Sports Movies,A movie about family and the unexpected challenges that change everything.
s00007,Movie,Edge of Tomorrow 21,James Anderson,John Smith,Australia,"April 16, 2021",1993,PG-13,110 min,Horror Movies,A movie about family and the unexpected challenges that change everything.
s00008,TV Show,Midnight in Mumbai 7,Daniel Lee,Olivia James,India,"November 20, 2016",1995,R,8 Seasons,International Movies,A tv show about ambition and the unexpected challenges that change everything.
s00009,Movie,A New Beginning 160,Chris Taylor,Riya Kapoor,United Kingdom,"November 23, 2018",2013,PG,110 min,Horror Movies,A movie about mystery and the unexpected challenges that change everything.
s00010,Movie,Desert Storm 143,John Carter,Vikram Singh,Italy,"March 17, 2018",2005,TV-PG,150 min,Documentaries,A movie about love and the unexpected challenges that change everything.
s00011,Movie,Rise of the Phoenix 154,James Anderson,Michael Brown,Italy,"February 24, 2021",2001,R,110 min,Comedies,A movie about adventure and the unexpected challenges that change everything.
s00012,TV Show,Dangerous Game 142,Aarav Sharma,Arjun Mehta,France,"June 14, 2017",2014,PG-13,1 Season,Horror Movies,A tv show about survival and the unexpected challenges that change everything.
s00013,TV Show,The Final Mission 21,Arjun Patel,David Wilson,Italy,"June 14, 2015",2007,NR,2 Seasons,Children and Family Movies,A tv show about love and the unexpected challenges that change everything.
s00014,Movie,Ocean of Fire 161,Riya Sharma,Rahul Sharma,Japan,"October 20, 2019",2007,G,120 min,International TV Shows,A movie about adventure and the unexpected challenges that change everything.
s00015,Movie,Shadow of the Past 196,Karan Malhotra,Sophia Martin,India,"September 20, 2016",2020,TV-MA,82 min,Thrillers,A movie about love and the unexpected challenges that change everything.
s00016,Movie,The Lost Treasure 86,Neha Singh,Vikram Singh,India,"December 12, 2021",2012,G,120 min,Sports Movies,A movie about mystery and the unexpected challenges that change everything.
s00017,Movie,Into the Wild 81,Raj Mehta,Emily Stone,Italy,"May 25, 2021",2013,PG-13,110 min,International Movies,A movie about mystery and the unexpected challenges that change everything.
s00018,Movie,Love in Paris 28,David Wilson,Chris Taylor,United States,"July 26, 2016",2015,PG-13,150 min,Romantic Movies,A movie about family and the unexpected challenges that change everything.
s00019,Movie,Dream Catcher 169,Robert Davis,Various Artists,Spain,"September 21, 2020",1996,R,90 min,International TV Shows,A movie about love and the unexpected challenges that change everything.
s00020,Movie,Into the Wild 17,Karan Malhotra,Raj Kumar,Spain,"June 26, 2015",1991,PG,135 min,Dramas,A movie about family and the unexpected challenges that change everything.
s00021,Movie,Edge of Tomorrow 198,Sofia Martin,Olivia James,Canada,"August 23, 2017",1991,TV-MA,95 min,Action and Adventure,A movie about family and the unexpected challenges that change everything.
s00022,Movie,The Golden Road 5,Arjun Patel,John Smith,Brazil,"May 2, 2017",1991,TV-PG,90 min,Music and Musicals,A movie about love and the unexpected challenges that change everything.
s00023,Movie,A New Beginning 112,Karan Malhotra,Vikram Singh,France,"August 31, 2020",2014,R,150 min,Horror Movies,A movie about mystery and the unexpected challenges that change everything.
s00024,Movie,Dark Secrets 144,Sofia Martin,Chris Taylor,Australia,"April 8, 2015",2005,NR,82 min,Documentaries,A movie about adventure and the unexpected challenges that change everything.
s00025,Movie,Lost in the Stars 125,Anil Verma,Raj Kumar,Spain,"March 10, 2016",1996,R,95 min,Dramas,A movie about family and the unexpected challenges that change everything.
